Year,Month,Mean_WSE,StdDev_WSE,Mean_Depth,StdDev_Depth,Pixel_Count,Mean_Depth_Along,StdDev_Depth_Along,Valid_Nodes
2020,2,22.0,4.3377013,4.0,4.3377013,2148121,0.9331051986476354,2.182926869373976,700
2020,3,22.0,4.3385577,4.0,4.3385577,2147002,1.0626680286634977,2.36190752781575,721
2020,4,22.0,4.341817,4.0,4.341817,2158209,0.8447805761589086,2.13576484953182,659
2020,5,22.0,4.344631,4.0,4.344631,2158623,0.9294174650727004,2.2405587830069083,667
2020,6,22.0,4.3396964,4.0,4.3396964,2150152,0.7919301808918492,2.1093308423119925,627
2020,7,22.0,4.339637,4.0,4.339637,2160734,0.7799416504568715,2.0918290486696365,691
2020,8,22.0,4.339721,4.0,4.339721,2165501,0.8065790588067957,2.2159805013880542,687
2020,9,22.0,4.339698,4.0,4.339698,2164411,0.639694054548834,1.7798853005331057,662
2020,10,22.0,4.33947,4.0,4.33947,2159329,0.7429666779066236,1.982550181755006,669
2020,11,22.0,4.3396354,4.0,4.3396354,2156878,0.8467887623596192,2.1792033731670095,700
2020,12,22.0,4.3351192,4.0,4.3351192,2145029,0.7417188790324131,1.978742260349774,686
2021,1,22.0,4.3387494,4.0,4.3387494,2156663,0.6518371189790614,1.8582137466141182,680
2021,2,22.0,4.3371277,4.0,4.3371277,2144845,0.8318222139935161,2.0478815611400094,688
2021,3,22.0,4.3367176,4.0,4.3367176,2153408,0.7549213896441312,1.9436455423386352,652
2021,4,22.0,4.332425,4.0,4.332425,2145899,0.8914643489160379,2.398692253571282,659
2021,5,22.0,4.340505,4.0,4.340505,2165077,0.8567716981148829,2.0846017557016903,653
2021,6,22.0,4.336956,4.0,4.336956,2162344,0.9895574695985546,2.3180473159699355,699
2021,7,22.0,4.3364573,4.0,4.3364573,2164141,0.7263140062890199,2.040368803247737,687
2021,8,22.0,4.3386116,4.0,4.3386116,2164578,0.8490478401064498,2.1619789961843714,638
2021,9,22.0,4.337063,4.0,4.337063,2156325,0.7758445823416222,2.0692751921317525,693
2021,10,22.0,4.3381896,4.0,4.3381896,2161989,0.7773695411398719,2.0843764752699867,673
2021,11,22.0,4.3372955,4.0,4.3372955,2150250,0.7156946716082537,1.9706834662616057,675
2021,12,22.0,4.3379216,4.0,4.3379216,2152359,0.8532044439811928,2.298381415337791,692
2022,1,22.0,4.3274612,4.0,4.3274612,2133182,0.6872508825594492,1.8878420423283928,685
2022,2,22.0,4.3319883,4.0,4.3319883,2148213,0.9077425224190327,2.4047312903201474,670
2022,3,22.0,4.3252287,4.0,4.3252287,2129714,0.9073311356244447,2.380862803249997,677
2022,4,22.0,4.331954,4.0,4.331954,2150209,0.7387135276068356,2.0103912989256516,683
2022,5,22.0,4.331133,4.0,4.331133,2143279,0.6979494382349277,1.9553837146674478,682
2022,6,22.0,4.3320827,4.0,4.3320827,2159624,0.7231195339544033,1.963439346111339,615
2022,7,22.0,4.276205,4.0,4.276205,2097481,0.8602140294769665,2.2264166895380884,648
2022,8,22.0,4.3340073,4.0,4.3340073,2159141,0.6923635987894345,1.903513950101529,643
2022,9,22.0,4.329376,4.0,4.329376,2151383,0.7110062964669109,2.024098005839526,685
2022,10,22.0,4.330769,4.0,4.330769,2142266,0.7492509367649927,2.0280486477496185,661
2022,11,22.0,4.3294487,4.0,4.3294487,2146763,0.9170455474160983,2.3425566103096265,661
2022,12,22.0,4.327764,4.0,4.327764,2137551,0.8932238516590814,2.198587846968543,704
2023,1,22.0,4.3283362,4.0,4.3283362,2100467,0.7200618380581376,1.9756828263013118,685
2023,2,22.0,4.338404,4.0,4.338404,2119969,0.8072286410074749,2.0460651903684672,668
2023,3,22.0,4.3386564,4.0,4.3386564,2120756,0.6863845985558382,1.880552544015108,628
2023,4,22.0,4.336495,4.0,4.336495,2109509,0.7958546938043466,2.1051192442501847,699
2023,5,22.0,4.335326,4.0,4.335326,2117704,0.6745336890978099,1.7174457793565447,661
2023,6,22.0,4.3397355,4.0,4.3397355,2131665,0.7692391297946012,2.0730059827615674,685
2023,7,22.0,4.3371134,4.0,4.3371134,2141319,0.8339296949603533,2.145133888042474,677
2023,8,22.0,4.3411484,4.0,4.3411484,2156791,0.7274208326041255,1.956386312479903,671
2023,9,22.0,4.3413463,4.0,4.3413463,2153467,0.8362055319081182,2.156024823793871,690
2023,10,22.0,4.340947,4.0,4.340947,2153530,0.6773570596746807,1.9814608059548389,662
2023,11,22.0,4.335952,4.0,4.335952,2135679,0.7768574484320963,2.0135412497223317,628
2023,12,22.0,4.335716,4.0,4.335716,2143198,0.6902812242974176,1.935385641577833,675
2024,1,22.0,4.225138,4.0,4.225138,2001600,0.6672002671410056,1.8842279422548245,680
2024,2,22.0,4.323214,4.0,4.323214,2129948,0.5676465776709492,1.5810283518420136,674
2024,3,22.0,4.320502,4.0,4.320502,2118667,0.8136831907728698,2.1377537413917334,652
2024,4,22.0,4.33097,4.0,4.33097,2135989,0.7453952076636667,1.991139090800134,686
2024,5,22.0,4.330939,4.0,4.330939,2145317,0.9663042298647332,2.179723437000274,713
2024,6,22.0,4.3301463,4.0,4.3301463,2155395,0.7582342047725164,2.027214742980391,705
2024,7,22.0,4.2208753,4.0,4.2208753,2035106,0.6355643061919746,1.7700464617940486,653
2024,8,22.0,4.3350205,4.0,4.3350205,2159529,0.7071318558312896,1.9876831177867897,665
2024,9,22.0,4.3314204,4.0,4.3314204,2144499,0.5912587074269144,1.7843167339656714,717
2024,10,22.0,4.329937,4.0,4.329937,2139036,0.6577657114454537,1.8612016894971528,726
2024,11,22.0,4.329489,4.0,4.329489,2140733,0.6374548511365905,1.7030062331104554,685
2024,12,22.0,4.3286614,4.0,4.3286614,2137503,0.7667932513854424,2.058613384966301,658
