node_id,x,y,curvature,abs_curvature,position,sinuosity_local
112,37417.9095166254,3341738.2066844767,6.0577654071345316e-05,6.0577654071345316e-05,0.11126666132091088,1.0024349682525777
113,37427.9095166254,3341495.4413369983,5.934219185805507e-05,5.934219185805507e-05,0.11231744722481886,1.0025421850839529
114,37467.9095166254,3341265.102396391,6.0785200738573904e-05,6.0785200738573904e-05,0.11332851073082166,1.0014832299008132
115,37487.9095166254,3341026.4791845363,6.106558334722507e-05,6.106558334722507e-05,0.1143641110495342,1.0020830259356444
116,37519.16941740647,3340792.519976296,6.036566890834266e-05,6.036566890834266e-05,0.11538491403997186,1.0021294758824526
117,37567.9095166254,3340565.8013033215,6.625558601920417e-05,6.625558601920417e-05,0.11638781374294703,1.0039300646091207
118,37607.9095166254,3340335.462362714,8.726523390288718e-05,8.726523390288718e-05,0.11739887724894983,1.0043992687677243
119,37627.9095166254,3340096.839150859,0.00012200356225119068,0.00012200356225119068,0.11843447756766437,1.0060013898921703
120,37687.9095166254,3339874.7844814993,0.00015613813264895608,0.00015613813264895608,0.11942924419971589,1.0053852423218625
121,37727.9095166254,3339644.445540892,0.0001715238962947215,0.0001715238962947215,0.1204403077057187,1.00814315153475
122,37807.9095166254,3339430.6751427795,0.00015898370952755465,0.00015898370952755465,0.12142742560006703,1.0078332451593732
123,37887.9095166254,3339216.904744667,0.00012310296292276322,0.00012310296292276322,0.12241454349441536,1.0069634533895124
124,37975.43704344704,3339006.2523502554,7.764993607551463e-05,7.764993607551463e-05,0.1234010711532334,1.0048372640881422
125,38051.032049708265,3338790.657343994,4.005529147377301e-05,4.005529147377301e-05,0.12438911730489396,1.004484582143277
126,38169.05346284068,3338592.6359308613,2.6808211733485103e-05,2.6808211733485103e-05,0.12538607434967936,1.0030680778809073
127,38237.57740129003,3338374.1119924122,4.512714085059681e-05,4.512714085059681e-05,0.12637650682098633,1.0034074277687262
128,38306.10133973938,3338155.5880539627,8.684790475287912e-05,8.684790475287912e-05,0.12736693929229528,1.0041659968202115
129,38407.9095166254,3337956.7087628637,0.00013503809000958272,0.00013503809000958272,0.12833318473317815,1.0095541434688249
130,38495.57562350929,3337746.113770193,0.00017626321178901906,0.00017626321178901906,0.12931971332108114,1.0089686755632412
131,38606.52596882984,3337545.1634248723,0.0002034633674934049,0.0002034633674934049,0.13031243546097812,1.0108222803462568
132,38713.33417852666,3337348.3552151755,0.0002136113273666242,0.0002136113273666242,0.1312808424448,1.0107474363547058
133,38830.142388223474,3337161.5470054788,0.00021262495807615448,0.00021262495807615448,0.13223367336752218,1.0111298404692388
134,38997.9095166254,3336989.9888066575,0.00021789952884463418,0.00021789952884463418,0.13327141152250435,1.0188951765234688
135,39121.540553547566,3336800.1488401545,0.00024353297302796156,0.00024353297302796156,0.1342511699334186,1.0192143735015242
136,39270.77517011555,3336620.9142235867,0.0002820430922038908,0.0002820430922038908,0.13525982566282682,1.0203120710431492
